Timeline,Start time,Duration,Row,Instance number,Collective Coordination,Cutting & Screeing,DM Catch,Driving,Finishing,Footwork,Passing,Points,Positioning,QB12 DM,Relocation,Shot Location,Shot Outcome,Shot Specific,Space Read,Transition,Ungrouped,Notes,Flags
11.14.25 MIA v NYK Team,1183.894497694330,8.000395267680920,Miami Heat,11,,+ve Cutting & Screening: Cut Fill,+ve DM Catch: Uncontested Shot,,,,,,,,,3pt,Made,9z11,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1246.396953384650,7.798803474008540,Miami Heat,12,,+ve Cutting & Screening: Principle,,,,-ve Footwork: Patient Pickup,,,,,,3pt,Made,8z11,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1279.1948569633500,8.09991437797271,Miami Heat,13,,,,,,-ve Footwork: Patient Pickup,,,,,,3pt,Made,7z1,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1335.3265589996600,12.46901575195880,Miami Heat,14,,"+ve Cutting & Screening: Movement, -ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Physicality,,+ve Footwork: Patient Pickup,,,,"-ve QB12: Cutter, -ve QB12: Weak Side","+ve Relocate: Dunker- Baseline Cut, +ve Relocate: 45 Cut",Short 2,Miss Long,6z4,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1370.4953782339800,10.498820427655600,Miami Heat,15,,,+ve DM Catch: Uncontested Shot,,,,,,,"+ve QB12: Strong Side, +ve QB12: Strong Side",,3pt,Made,10z4,,+ve Transition: Effort and Pace,"Neutral, Match 1, Q0, Stat, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1434.2946726693100,12.997776223015800,Miami Heat,16,,+ve Cutting & Screening: Principle,,,+ve Finishing: Earn a Foul,,,,+ve Positioning - Create Shape,,+ve Relocate: Reverse Direction,Short 2,Fouled,5z7,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1522.6948788017000,11.896591035258600,Miami Heat,17,,,,+ve Driving: Paint Touch,+ve Finishing: Read the Length,,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,"+ve QB12: Baseline, +ve QB12: Cutter","+ve Relocate: Weak Corner, -ve Relocate: Slide Away",Short 2,Made,5z5,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1548.5946641916400,11.296012521640900,Miami Heat,18,,,+ve DM Catch: Uncontested Shot,+ve Driving: Paint Touch,,-ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: Weak Corner, -ve Relocate: Slide Away",3pt,Miss Right,10z4,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1797.5951172246700,9.897648636992470,Miami Heat,19,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass","+ve Driving: Paint Touch, +ve Driving: Paint Touch","+ve Finishing: Ball Security, +ve Finishing: Read the Length",,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"-ve Relocate: Weak Corner, -ve Relocate: Slide Away",Short 2,Made,6z7,"+ve Space Read: Live Dribble, +ve Space Read: Catch",+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1826.99642033232,9.899377669649310,Miami Heat,20,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","-ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,,,,,,,,3pt,Miss Left,5z11,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1879.892739408300,9.999332045003480,Miami Heat,21,,"+ve Cutting & Screening: Denial, +ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",,,,+ve Footwork: Step to Ball,-ve Passing: Read the Length,,,,,,,,,-ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1892.2921994126700,12.300440399949400,Miami Heat,22,,+ve Cutting & Screening: Principle,,,,-ve Footwork: Patient Pickup,,,,"+ve QB12: Strong Side, -ve QB12: Roller",,3pt,Miss Long,9z2,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,1915.6942585466800,11.800951707291700,Miami Heat,23,,+ve Cutting & Screening: Movement,"+ve DM Catch: Drive a Swing/Skip Pass, -ve DM Catch: Uncontested Shot",,,-ve Footwork: Step to Ball,,,,+ve QB12: Fill Behind,"-ve Relocate: Weak Corner, +ve Relocate: Slide Away",3pt,Made,3z11,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2008.6948347703200,20.999821264329300,Miami Heat,24,,,,+ve Driving: Paint Touch,+ve Finishing: Stride Pivot,,,,,,"+ve Relocate: Weak Corner, +ve Relocate: Fill Behind, +ve Relocate: Reverse Direction",Short 2,Miss Short,6z7,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2317.9691638220000,14.70040140899660,Miami Heat,25,,"-ve Cutting & Screening: Movement, +ve Cutting & Screening: Denial",,,-ve Finishing: Ball Security,,,,,,,,,,,,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2349.9697241560100,8.90101136631074,Miami Heat,26,,+ve Cutting & Screening: Denial,,,,,"+ve Passing: Teammate on the Move, -ve Passing: Read the Length",,,+ve QB12: Cutter,,,,,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2372.966725731320,8.402569269330340,Miami Heat,27,,,,,+ve Finishing: Physicality,,-ve Passing: Teammate on the Move,,,+ve QB12: Weak Side,,Short 2,Made,6z5,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2402.1692242436300,16.901633245986000,Miami Heat,28,,+ve Cutting & Screening: Denial,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, -ve Finishing: Earn a Foul",+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,,-ve Relocate: Weak Corner,Short 2,Miss Long,6z7,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2451.778351624330,12.016937249987700,Miami Heat,29,,,,+ve Driving: Paint Touch,-ve Finishing: Ball Security,,+ve Passing: Teammate on the Move,,,+ve QB12: Baseline,"+ve Relocate: Weak Corner, +ve Relocate: Slide Away",,,,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2485.468306161960,8.817184671334420,Miami Heat,30,,,"+ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",,,+ve Footwork: Step to Ball,,,,,,3pt,Miss Short,7z1,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2515.283100874620,14.48607605505050,Miami Heat,31,,+ve Cutting & Screening: Denial,+ve DM Catch: Swing,+ve Driving: Paint Touch,+ve Finishing: Earn a Foul,,,,-ve Positioning - Create Shape,,"+ve Relocate: Fill Behind, +ve Relocate: 45 Cut, -ve Relocate: Dunker- Baseline Cut",Short 2,Fouled,7z5,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2856.0974401243000,11.672136948006900,Miami Heat,32,,,+ve DM Catch: Uncontested Shot,,,,,,,,,3pt,Made,9z2,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2885.469657339630,7.5010294820003800,Miami Heat,33,,,,,"+ve Finishing: Stride Pivot, -ve Finishing: Read the Length",,,,,"-ve QB12: Cutter, +ve QB12: Strong Side",,Deep 2,Miss Short,4z7,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,2911.7660741730000,18.901609513684400,Miami Heat,34,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Principle",+ve DM Catch: Drive a Swing/Skip Pass,,"+ve Finishing: Read the Length, +ve Finishing: Earn a Foul",-ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,"+ve QB12: Fill Behind, +ve QB12: Cutter","+ve Relocate: 45 Cut, -ve Relocate: Corner Fill",Short 2,Made,5z5,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3000.4706038596400,7.599268078333810,Miami Heat,35,,,,+ve Driving: Paint Touch,+ve Finishing: Read the Length,,,,,,-ve Relocate: Corner Fill,Short 2,Made,6z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3026.56717522597,10.903568771634600,Miami Heat,36,,,"+ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Back-to-Back",+ve Driving: Paint Touch,+ve Finishing: Earn a Foul,,+ve Passing: Teammate on the Move,,-ve Positioning - Create Shape,+ve QB12: Strong Side,"-ve Relocate: Weak Corner, +ve Relocate: Slide Away",,,,-ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3070.471451861940,19.29746509940650,Miami Heat,37,,+ve Cutting & Screening: Denial,,-ve Driving: Paint Touch,,,,,-ve Positioning - Create Shape,+ve QB12: Fill Behind,"+ve Relocate: Fill Behind, -ve Relocate: Dunker- Baseline Cut",Long 2,Miss Long,6z2,+ve Space Read: Live Dribble,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3136.6701579466600,10.299276370962600,Miami Heat,38,,,-ve DM Catch: Swing,,,+ve Footwork: Patient Pickup,,,,,,3pt,"Miss Long, Miss Long",8z10,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3144.6669120846700,6.4031208012975200,Miami Heat,39,,,+ve DM Catch: Swing,,,+ve Footwork: Patient Pickup,,,,,,3pt,Made,7z1,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3165.266560775640,8.901399999343990,Miami Heat,40,,,,"+ve Driving: Paint Touch, +ve Driving: Physicality","+ve Finishing: Stride Pivot, +ve Finishing: Read the Length",,,,,,"+ve Relocate: Dunker- Baseline Cut, -ve Relocate: Slide Away, +ve Relocate: Slide Away",Short 2,Made,6z5,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3409.1705257909900,12.998610750639300,Miami Heat,41,,+ve Cutting & Screening: Principle,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, +ve Finishing: Earn a Foul",,,,+ve Positioning - Create Shape,,"+ve Relocate: Dunker- Baseline Cut, +ve Relocate: Reverse Direction",Short 2,Made,5z5,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3457.2698285570100,8.79739444693405,Miami Heat,42,,,,,+ve Finishing: Earn a Foul,,,,,+ve QB12: Strong Side,,Deep 2,Fouled,4z6,,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3733.9494057779700,6.019676552676170,Miami Heat,43,,,"-ve DM Catch: Uncontested Shot, -ve DM Catch: Drive a Swing/Skip Pass",,,,,,,,,3pt,Miss Short,4z1,-ve Space Read: Catch,"+ve Transition: Effort and Pace, +ve Transition: Pitch Ahead","Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3865.666427197620,4.502095098353490,Miami Heat,44,,,,,,,-ve Passing: Read the Length,,,,,,,,,,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3883.07087759362,14.496704779343000,Miami Heat,45,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","-ve DM Catch: Swing, +ve DM Catch: Drive Pass",,,+ve Footwork: Patient Pickup,,,+ve Positioning - Create Shape,,,Short 2,Miss Short,7z5,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3960.969379663310,18.09893081833340,Miami Heat,46,,+ve Cutting & Screening: Cut Fill,+ve DM Catch: Back-to-Back,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, -ve Finishing: Read the Length",-ve Footwork: Step to Ball,,,-ve Positioning - Create Shape,+ve QB12: Strong Side,"-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind, -ve Relocate: Slide Away",Long 2,Miss Long,7z2a,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,3987.5699869163600,7.298624576243580,Miami Heat,47,,,+ve DM Catch: Drive a Swing/Skip Pass,+ve Driving: Paint Touch,+ve Finishing: Read the Length,,,,+ve Positioning - Create Shape,+ve QB12: Strong Side,"+ve Relocate: 45 Cut, -ve Relocate: Dunker- Baseline Cut",Short 2,Made,5z7,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4008.80250724927,17.165441499041700,Miami Heat,48,,+ve Cutting & Screening: Movement,"+ve DM Catch: Swing, +ve DM Catch: Back-to-Back, +ve DM Catch: Uncontested Shot",,,-ve Footwork: Step to Ball,+ve Passing: Teammate on the Move,,-ve Positioning - Create Shape,"+ve QB12: Strong Side, +ve QB12: Fill Behind","+ve Relocate: Dunker- Baseline Cut, -ve Relocate: Weak Corner, +ve Relocate: Slide Away, -ve Relocate: Fill Behind, -ve Relocate: Fill Behind, +ve Relocate: Reverse Direction",3pt,Miss Short,4z11,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4042.4686203066300,14.900093699704500,Miami Heat,49,,,"+ve DM Catch: Swing, -ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Drive a Swing/Skip Pass",,,+ve Footwork: Step to Ball,-ve Passing: Teammate on the Move,,,,"-ve Relocate: 45 Cut, -ve Relocate: Slide Away",,,,"-ve Space Read: Catch, +ve Space Read: Catch",-ve Transition: Effort and Pace,"Turnover, Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4156.474915029310,17.49239885300270,Miami Heat,50,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","-ve DM Catch: Swing, +ve DM Catch: Uncontested Shot",,,,+ve Passing: Teammate on the Move,,+ve Positioning - Create Shape,"-ve QB12: Skip Pass, +ve QB12: Strong Side",+ve Relocate: Slide Away,3pt,Miss Long,3z1,,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4188.16631820166,8.403111523936790,Miami Heat,51,,,-ve DM Catch: Uncontested Shot,,,,,,,"+ve QB12: Strong Side, -ve QB12: Baseline","-ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",3pt,Miss Left,4z11,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4258.867205446010,17.60212104898980,Miami Heat,52,,,"-ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass, +ve DM Catch: Uncontested Shot",+ve Driving: Paint Touch,,"+ve Footwork: Step to Ball, -ve Footwork: Step to Ball",,,-ve Positioning - Create Shape,+ve QB12: Weak Side,"+ve Relocate: Fill Behind, +ve Relocate: Reverse Direction, -ve Relocate: Slide Away, -ve Relocate: Fill Behind",3pt,Made,2z1,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4295.767456840980,8.999783228012350,Miami Heat,53,,,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,+ve Finishing: Earn a Foul,,,,+ve Positioning - Create Shape,,"+ve Relocate: Slide Away, +ve Relocate: Fill Behind",Short 2,Fouled,5z5,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4373.867350526990,14.800817890685700,Miami Heat,54,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",,+ve Driving: Paint Touch,"+ve Finishing: Read the Length, +ve Finishing: Ball Security",,,,-ve Positioning - Create Shape,"+ve QB12: Strong Side, -ve QB12: Baseline","+ve Relocate: 45 Cut, -ve Relocate: Dunker- Baseline Cut, +ve Relocate: Fill Behind",Short 2,Made,4z4,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4644.9990020859500,16.20250170534470,Miami Heat,55,,+ve Cutting & Screening: Movement,"+ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",,,"-ve Footwork: Step to Ball, +ve Footwork: Patient Pickup, +ve Footwork: Long 2",,,-ve Positioning - Create Shape,+ve QB12: Weak Side,+ve Relocate: Dunker- Baseline Cut,3pt,Made,3z11,+ve Space Read: Catch,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4711.400772967350,9.698350766989280,Miami Heat,56,,,,,+ve Finishing: Read the Length,,+ve Passing: Teammate on the Move,,,+ve QB12: Cutter,,Short 2,Made,5z5,,,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4734.900390484010,9.798242139265310,Miami Heat,57,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",+ve DM Catch: Drive a Swing/Skip Pass,,,-ve Footwork: Patient Pickup,,,+ve Positioning - Create Shape,,,Short 2,Made,6z8,"+ve Space Read: Live Dribble, +ve Space Read: Catch",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4764.699744067700,11.601858645961300,Miami Heat,58,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill",+ve DM Catch: Swing,,+ve Finishing: Earn a Foul,,,,,,,Long 2,Fouled,2z2,+ve Space Read: Catch,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4843.9015954442900,8.397085863400210,Miami Heat,59,,,,+ve Driving: Paint Touch,"+ve Finishing: Stride Pivot, -ve Finishing: Read the Length",,,,+ve Positioning - Create Shape,"+ve QB12: Strong Side, -ve QB12: Weak Side",-ve Relocate: Weak Corner,Deep 2,Miss Short,3z6,+ve Space Read: Live Dribble,-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,4941.001631598290,14.42284265172380,Miami Heat,60,,,,+ve Driving: Paint Touch,+ve Finishing: Earn a Foul,,,,+ve Positioning - Create Shape,-ve QB12: Baseline,"+ve Relocate: Dunker- Baseline Cut, -ve Relocate: Reverse Direction",Short 2,Fouled,6z7,+ve Space Read: Live Dribble,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,5017.498682043690,18.201631402315800,Miami Heat,61,,"+ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill, +ve Cutting & Screening: Movement, +ve Cutting & Screening: Cut Fill","+ve DM Catch: Swing, +ve DM Catch: Swing, +ve DM Catch: Drive a Swing/Skip Pass",+ve Driving: Paint Touch,+ve Finishing: Read the Length,+ve Footwork: Step to Ball,,,+ve Positioning - Create Shape,"-ve QB12: Strong Side, -ve QB12: Weak Side","+ve Relocate: Fill Behind, -ve Relocate: Dunker- Baseline Cut",Short 2,Miss Long,6z7,"+ve Space Read: Live Dribble, +ve Space Read: Live Dribble",-ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
11.14.25 MIA v NYK Team,5043.72067329128,12.477651117017600,Miami Heat,62,,-ve Cutting & Screening: Cut Fill,+ve DM Catch: Drive a Swing/Skip Pass,,+ve Finishing: Earn a Foul,,,,,+ve QB12: Strong Side,,Short 2,Fouled,6z9,+ve Space Read: Catch,+ve Transition: Effort and Pace,"Neutral, Match 1, Stat, Q0, UVA 0 - 0 OPP",,
